# List of crossterms parameters to be used in the Crossterms excluded-volume HRG model
# Only particle pairs with a non-zero eigenvolume parameter are listed here
#         pdg_i          pdg_j   b_{ij}[fm^3]
          -3122          -1114              1
          -3122          -2214              1
          -3122          -2114              1
          -3122          -3322              1
          -3122          -3312              1
          -3122          -3224              1
          -3122          -3214              1
          -3122          -3114              1
          -3122         -13122              1
          -3122         -12212              1
          -3122         -12112              1
          -3122          -3124              1
          -3122          -2124              1
          -3122          -1214              1
          -3122          -3324              1
          -3122         -22112              1
          -3122         -22212              1
          -3122          -3314              1
          -3122         -31114              1
          -3122         -32224              1
          -3122         -32214              1
          -3122         -32114              1
          -3122         -23122              1
          -3122          -2122              1
          -3122          -2222              1
          -3122          -1112              1
          -3122          -1212              1
          -3122         -32112              1
          -3122         -32212              1
          -3122         -13212              1
          -3122         -13112              1
          -3122         -13222              1
          -3122         -13214              1
          -3122         -13224              1
          -3122         -33122              1
          -3122         -13114              1
          -3122          -3334              1
          -3122          -2216              1
          -3122          -2116              1
          -3122         -12116              1
          -3122         -12216              1
          -3122         -23314              1
          -3122         -23324              1
          -3122         -13124              1
          -3122         -11114              1
          -3122         -12214              1
          -3122         -22124              1
          -3122         -12224              1
          -3122         -21214              1
          -3122         -12114              1
          -3122         -42212              1
          -3122         -42112              1
          -3122         -31214              1
          -3122         -32124              1
          -3122         -23222              1
          -3122         -23212              1
          -3122         -23112              1
          -3122          -3216              1
          -3122          -3116              1
          -3122          -3226              1
          -3122         -43122              1
          -3122         -53122              1
          -3122          -3126              1
          -3122         -13324              1
          -3122         -13314              1
          -3122         -13126              1
          -3122       -2111875              1
          -3122       -2211875              1
          -3122    -1000010020        1.44275
          -3122         -23124              1
          -3122       -2211900              1
          -3122       -2111900              1
          -3122          -1116              1
          -3122          -2126              1
          -3122          -2226              1
          -3122          -1216              1
          -3122         -22122              1
          -3122         -21112              1
          -3122         -21212              1
          -3122         -22222              1
          -3122         -13216              1
          -3122         -13226              1
          -3122         -13116              1
          -3122         -22114              1
          -3122         -22214              1
          -3122         -21114              1
          -3122         -22224              1
          -3122         -12226              1
          -3122         -11116              1
          -3122         -11216              1
          -3122         -12126              1
          -3122         -23214              1
          -3122         -23224              1
          -3122         -23114              1
          -3122          -2218              1
          -3122          -1118              1
          -3122          -2228              1
          -3122          -2118              1
          -3122         -33314              1
          -3122         -33324              1
          -3122          -3316              1
          -3122          -3326              1
          -3122          -3118              1
          -3122          -3218              1
          -3122          -3228              1
          -3122    -1010000020        1.44275
          -3122          -3128              1
          -3122         -23126              1
          -3122          -1218              1
          -3122          -2128              1
          -3122            -92              1
          -3122            -91              1
          -3122    -1020000020        1.44275
          -3122         -33214              1
          -3122         -33114              1
          -3122            -94              1
          -3122         -33224              1
          -3122            -93              1
          -3122         -13334              1
          -3122    -1010010020        1.44275
          -3122           -911              1
          -3122            -99              1
          -3122           -910              1
          -3122            -98              1
          -3122            -97              1
          -3122            -95              1
          -3122            -96              1
          -3122    -1000020030        1.82088
          -3122    -1000010030        1.82088
          -3122    -1010010030        1.82088
          -3122    -1000020040        2.16522
          -3122    -1010020040        2.16522
          -3122    -1010010040        2.16522
          -3122    -1010020050        2.48775
           3122           2212              1
           3122           2112              1
           3122           3122              1
           3122           3222              1
           3122           3212              1
           3122           3112              1
           3122           2224              1
           3122           1114              1
           3122           2214              1
           3122           2114              1
           3122           3322              1
           3122           3312              1
           3122           3224              1
           3122           3214              1
           3122           3114              1
           3122          13122              1
           3122          12212              1
           3122          12112              1
           3122           3124              1
           3122           2124              1
           3122           1214              1
           3122           3324              1
           3122          22112              1
           3122          22212              1
           3122           3314              1
           3122          32224              1
           3122          32214              1
           3122          32114              1
           3122          31114              1
           3122          23122              1
           3122           2122              1
           3122           2222              1
           3122           1112              1
           3122           1212              1
           3122          32112              1
           3122          32212              1
           3122          13212              1
           3122          13222              1
           3122          13112              1
           3122          13114              1
           3122          13224              1
           3122          13214              1
           3122          33122              1
           3122           3334              1
           3122           2116              1
           3122           2216              1
           3122          12116              1
           3122          12216              1
           3122          23324              1
           3122          13124              1
           3122          23314              1
           3122          12214              1
           3122          22124              1
           3122          12224              1
           3122          21214              1
           3122          12114              1
           3122          11114              1
           3122          42212              1
           3122          42112              1
           3122          32124              1
           3122          31214              1
           3122          23212              1
           3122          23112              1
           3122          23222              1
           3122           3116              1
           3122           3216              1
           3122           3226              1
           3122          43122              1
           3122          53122              1
           3122           3126              1
           3122          13324              1
           3122          13314              1
           3122          13126              1
           3122        2211875              1
           3122        2111875              1
           3122     1000010020        1.44275
           3122          23124              1
           3122        2111900              1
           3122        2211900              1
           3122           1116              1
           3122           2126              1
           3122           2226              1
           3122           1216              1
           3122          22222              1
           3122          21112              1
           3122          22122              1
           3122          21212              1
           3122          13216              1
           3122          13226              1
           3122          13116              1
           3122          22224              1
           3122          22114              1
           3122          22214              1
           3122          21114              1
           3122          11116              1
           3122          12226              1
           3122          11216              1
           3122          12126              1
           3122          23114              1
           3122          23224              1
           3122          23214              1
           3122           1118              1
           3122           2228              1
           3122           2118              1
           3122          33314              1
           3122          33324              1
           3122           2218              1
           3122           3326              1
           3122           3316              1
           3122           3118              1
           3122           3218              1
           3122           3228              1
           3122     1010000020        1.44275
           3122           3128              1
           3122          23126              1
           3122           1218              1
           3122           2128              1
           3122             91              1
           3122             92              1
           3122     1020000020        1.44275
           3122          33114              1
           3122          33214              1
           3122          33224              1
           3122             93              1
           3122             94              1
           3122          13334              1
           3122     1010010020        1.44275
           3122            911              1
           3122             99              1
           3122            910              1
           3122             97              1
           3122             98              1
           3122             95              1
           3122             96              1
           3122     1000020030        1.82088
           3122     1000010030        1.82088
           3122     1010010030        1.82088
           3122     1000020040        2.16522
           3122     1010020040        2.16522
           3122     1010010040        2.16522
           3122     1010020050        2.48775
           3222           2212              1
           3222           2112              1
           3222           3122              1
           3222           3222              1
           3222           3212              1
           3222           3112              1
           3222           2224              1
           3222           1114              1
           3222           2214              1
           3222           2114              1
           3222           3322              1
           3222           3312              1
           3222           3224              1
           3222           3214              1
           3222           3114              1
           3222          13122              1
           3222          12212              1
           3222          12112              1
           3222           3124              1
           3222           2124              1
           3222           1214              1
           3222           3324              1
           3222          22112              1
           3222          22212              1
           3222           3314              1
           3222          32224              1
           3222          32214              1
           3222          32114              1
           3222          31114              1
           3222          23122              1
           3222           2122              1
           3222           2222              1
           3222           1112              1
           3222           1212              1
           3222          32112              1
           3222          32212              1
           3222          13212              1
           3222          13222              1
           3222          13112              1
           3222          13114              1
           3222          13224              1
           3222          13214              1
           3222          33122              1
           3222           3334              1
           3222           2116              1
           3222           2216              1
           3222          12116              1
           3222          12216              1
           3222          23324              1
           3222          13124              1
           3222          23314              1
           3222          12214              1
           3222          22124              1
           3222          12224              1
           3222          21214              1
           3222          12114              1
           3222          11114              1
           3222          42212              1
           3222          42112              1
           3222          32124              1
           3222          31214              1
           3222          23212              1
           3222          23112              1
           3222          23222              1
           3222           3116              1
           3222           3216              1
           3222           3226              1
           3222          43122              1
           3222          53122              1
           3222           3126              1
           3222          13324              1
           3222          13314              1
           3222          13126              1
           3222        2211875              1
           3222        2111875              1
           3222     1000010020        1.44275
           3222          23124              1
           3222        2111900              1
           3222        2211900              1
           3222           1116              1
           3222           2126              1
           3222           2226              1
           3222           1216              1
