# List of eigenvolume parameters to be used in the Diagonal excluded-volume HRG model
# Only particles with a non-zero eigenvolume parameter are listed here
#           pdg      v_i[fm^3]
   100003004002        8.37939
  -100002004008        8.38055
   100002004008        8.38055
   100003004003        8.38111
  -100003004003        8.38111
   101001004002        8.38151
  -101001004002        8.38151
  -101001004003        8.38318
   101001004003        8.38318
  -100002004009        8.38383
   100002004009        8.38383
  -100002004010        8.38582
   100002004010        8.38582
  -100002004011        8.38595
   100002004011        8.38595
  -100002004012          8.386
   100002004012          8.386
  -100002004013        8.38656
   100002004013        8.38656
  -100002004014        8.38662
   100002004014        8.38662
   100002004015        8.38935
  -100002004015        8.38935
          30443        8.42603
    -1010020040        8.75535
     1010020040        8.75535
         100445        8.75761
    -1010010040        8.75828
     1010010040        8.75828
        9000443         9.0184
        9010443        9.35779
        9020443        9.87134
    -1000030050        10.4214
     1000030050        10.4214
    -1000020050        10.4223
     1000020050        10.4223
  -100003005001        10.4247
   100003005001        10.4247
   100002005001        10.4251
  -100002005001        10.4251
    10000305002         10.459
   -10000305002         10.459
   100002005002        10.4599
  -100002005002        10.4599
     1000010050        10.4743
    -1000010050        10.4743
    -1010020050        10.8067
     1010020050        10.8067
