# List of eigenvolume parameters to be used in the Diagonal excluded-volume HRG model
# Only particles with a non-zero eigenvolume parameter are listed here
#           pdg      v_i[fm^3]
            443        6.50841
          10441        7.17617
          20443        7.37773
          10443        7.40866
            445        7.47343
         100441        7.64786
         100443        7.74642
     1000020040        7.83317
    -1000020040        7.83317
          30443        7.92936
     1010020040       0.353198
    -1010020040       0.353198
     1010010040        0.35308
    -1010010040        0.35308
    -1010020050       0.286154
     1010020050       0.286154
