0.0112          211 211 -211 -211    # chi_c2 -> 2(pi+pi-) (PDG 1.12%)
0.0084          321 -321 211 -211    # chi_c2 -> K+K- pi+pi- (PDG 0.84%)
0.007           321 -211 -311 111    # chi_c2 -> K+ pi- Kbar0 pi0 (~half of 1.40%)
0.007           -321 211 311 111     # chi_c2 -> K- pi+ K0 pi0 (~half of 1.40%)
0.0022          313 -313             # chi_c2 -> K*0 Kbar*0 (PDG 0.22%)
0.0022          -11 11 443           # chi_c2 -> e+e- J/psi (PDG 0.22%)
0.0021          321 -321 111 111     # chi_c2 -> K+K- 2pi0 (PDG 0.21%)
0.0017          321 321 -321 -321    # chi_c2 -> 2(K+K-) (PDG 0.17%)
0.0013          2212 -2212 211 -211  # chi_c2 -> p pbar pi+pi- (PDG 0.13%)
0.0013          321 -321 221 111     # chi_c2 -> K+K- eta pi0 (PDG 0.13%)
0.0012          333 333              # chi_c2 -> phi phi (PDG 0.12%)
0.0011          321 -321             # chi_c2 -> K+K- (PDG 0.10%)
0.0011          111 111 111 111      # chi_c2 -> 4pi0 (PDG 0.11%)
0.7117          211 -211 211 -211 111 111 # chi_c2 -> catch-all (unmeasured modes)

100441                                   # eta(c)(2S) (PDG2025 updated)
6                                        # 6 decay channels
0.019           321 -321 111         # eta_c(2S) -> KKbar pi ~half (PDG 1.90% total)
0.019           311 -311 111         # eta_c(2S) -> KKbar pi ~half
0.0169          211 211 211 -211 -211 -211 # eta_c(2S) -> 3(pi+pi-) (PDG 1.69%)
0.0147          321 -321 211 -211 111 # eta_c(2S) -> K+K- pi+pi- pi0 (PDG 1.47%)
0.0055          221 211 -211         # eta_c(2S) -> eta pi+pi- (PDG 0.55%)
0.9249          211 -211 211 -211 111 111 # eta_c(2S) -> catch-all (unmeasured modes)

100443                                   # psi(2S) (PDG2025 updated)
13                                       # 13 decay channels
0.347           443 211 -211         # psi(2S) -> J/psi pi+pi- (PDG 34.70%)
0.1825          443 111 111          # psi(2S) -> J/psi pi0pi0 (PDG 18.25%)
0.0975          22 10441             # psi(2S) -> gamma chi_c0 (PDG 9.75%)
0.0975          22 20443             # psi(2S) -> gamma chi_c1 (PDG 9.75%)
0.0938          22 445               # psi(2S) -> gamma chi_c2 (PDG 9.38%)
0.0337          443 221              # psi(2S) -> J/psi eta (PDG 3.37%)
0.0142          211 211 -211 -211 111 111 111 # psi(2S) -> 2(pi+pi-) 3pi0 (PDG 1.42%)
0.008           -13 13               # psi(2S) -> mu+mu- (PDG 0.80%)
0.0079          -11 11               # psi(2S) -> e+e- (PDG 0.79%)
0.0036          22 441               # psi(2S) -> gamma eta_c (PDG 0.36%)
0.0031          -15 15               # psi(2S) -> tau+tau- (PDG 0.31%)
0.0013          443 111              # psi(2S) -> J/psi pi0 (PDG 0.13%)
0.1099          211 -211 211 -211 111 # psi(2S) -> catch-all (unmeasured hadronic modes)

30443                                    # psi(3770) (PDG2025 updated)
6                                        # 6 decay channels
0.52            421 -421             # psi(3770) -> D0 Dbar0 (PDG ~52%)
0.4085          411 -411             # psi(3770) -> D+ D- (PDG ~41%)
0.0069          22 10441             # psi(3770) -> gamma chi_c0 (PDG 0.69%)
0.0025          22 20443             # psi(3770) -> gamma chi_c1 (PDG 0.25%)
0.0019          443 211 -211         # psi(3770) -> J/psi pi+pi- (PDG 0.19%)
0.0602          211 -211 211 -211 111 # psi(3770) -> catch-all non-DDbar

100445                                   # chi(c2)(3930) (PDG2025 updated)
3                                        # 3 decay channels
0.52            421 -421             # chi_c2(3930) -> D0 Dbar0
0.41            411 -411             # chi_c2(3930) -> D+ D-
0.07            211 -211 211 -211    # chi_c2(3930) -> catch-all non-DDbar

9000443                                  # psi(4040) (PDG2025 updated)
6                                        # 6 decay channels
0.25            421 -421             # psi(4040) -> D0 Dbar0
0.2             411 -411             # psi(4040) -> D+ D-
0.18            423 -421             # psi(4040) -> D*0 Dbar0
0.18            413 -411             # psi(4040) -> D*+ D-
0.12            423 -423             # psi(4040) -> D*0 Dbar*0
0.07            211 -211 211 -211 111 # psi(4040) -> catch-all non-charm

9010443                                  # psi(4160) (PDG2025 updated)
8                                        # 8 decay channels
0.2             421 -421             # psi(4160) -> D0 Dbar0
0.15            411 -411             # psi(4160) -> D+ D-
0.15            423 -421             # psi(4160) -> D*0 Dbar0
0.15            413 -411             # psi(4160) -> D*+ D-
0.15            423 -423             # psi(4160) -> D*0 Dbar*0
0.05            431 -431             # psi(4160) -> Ds+ Ds-
0.05            433 -431             # psi(4160) -> Ds*+ Ds-
0.1             211 -211 211 -211 111 # psi(4160) -> catch-all non-charm

9020443                                  # psi(4415) (PDG2025 updated)
11                                       # 11 decay channels
0.15            421 -421             # psi(4415) -> D0 Dbar0
0.12            411 -411             # psi(4415) -> D+ D-
0.1             423 -421             # psi(4415) -> D*0 Dbar0
0.1             413 -411             # psi(4415) -> D*+ D-
0.1             423 -423             # psi(4415) -> D*0 Dbar*0
0.05            413 -413             # psi(4415) -> D*+ D*-
0.05            431 -431             # psi(4415) -> Ds+ Ds-
0.05            433 -431             # psi(4415) -> Ds*+ Ds-
0.05            433 -433             # psi(4415) -> Ds*+ Ds*-
0.13            421 -411 211         # psi(4415) -> D0 D- pi+ (incl. DDbar2*)
0.1             211 -211 211 -211 111 # psi(4415) -> catch-all non-charm

421                                      # D0 (PDG2025 updated)
48                                       # 48 decay channels
0.0354          -321 -11 12          # D0 -> K- e+ nu_e (PDG 3.54%)
0.0342          -321 -13 14          # D0 -> K- mu+ nu_mu (PDG 3.42%)
0.0216          -323 -11 12          # D0 -> K*(892)- e+ nu_e (PDG 2.16%)
0.0206          -323 -13 14          # D0 -> K*(892)- mu+ nu_mu (PDG 2.06%)
0.016           -321 111 -11 12      # D0 -> K- pi0 e+ nu_e (PDG 1.60%)
0.0144          -311 -211 -11 12     # D0 -> Kbar0 pi- e+ nu_e (PDG 1.44%)
0.0073          -321 111 -13 14      # D0 -> K- pi0 mu+ nu_mu (PDG 0.73%)
0.0029          -211 -11 12          # D0 -> pi- e+ nu_e (PDG 0.29%)
0.0027          -211 -13 14          # D0 -> pi- mu+ nu_mu (PDG 0.27%)
0.0015          -213 -11 12          # D0 -> rho- e+ nu_e (PDG 0.15%)
0.0014          -211 111 -11 12      # D0 -> pi- pi0 e+ nu_e (PDG 0.14%)
0.0014          -213 -13 14          # D0 -> rho- mu+ nu_mu (PDG 0.14%)
0.0395          -321 211             # D0 -> K- pi+ (PDG 3.95%)
0.1124          -321 213             # D0 -> K- rho+ (PDG BFX1 11.24%)
0.0318          -321 211 111         # D0 -> K- pi+ pi0 non-rho (14.42 - 11.24)
0.0886          -321 211 111 111     # D0 -> K- pi+ 2pi0 (PDG 8.86%)
0.0686          -321 211 113         # D0 -> K- pi+ rho0 (PDG BFX1 6.86%)
0.0136          -321 211 211 -211    # D0 -> K- 2pi+ pi- non-rho (8.22 - 6.86)
0.0848          -311 211 -211 111    # D0 -> Kbar0 pi+pi-pi0 non-omega (10.50 - 2.02)
0.0128          -321 211 211 -211 111 # D0 -> K- 2pi+ pi- pi0 non-omega (4.30 - 3.02)
0.0339          -321 211 223         # D0 -> K- pi+ omega (PDG 3.39%)
0.0128          -311 113             # D0 -> Kbar0 rho0 (PDG K0S BFX1 0.64% x2)
0.0445          -311 211 -211        # D0 -> Kbar0 pi+pi- non-rho (5.73 - 1.28)
